user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
coasm_bin.139	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.79	11	0.99442	N/A
coasm_bin.142	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__OLB10 sp002455375	GCA_002455375.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__OLB10 sp002455375	99.05	0.923	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_016699635.1, s__OLB10 sp016699635, 95.0, 87.96, 0.603; GCA_963169685.1, s__OLB10 sp963169685, 95.0, 88.45, 0.596	N/A	N/A	N/A	N/A
coasm_bin.147	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.63	11	0.95948	N/A
coasm_bin.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__Sulfuritalea sp017302275	GCF_017302275.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__Sulfuritalea sp017302275	99.68	0.914	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_016708585.1, s__Sulfuritalea sp016708585, 95.0, 85.93, 0.246; GCA_016710465.1, s__Sulfuritalea sp016710465, 95.0, 86.29, 0.214; GCA_016235805.1, s__Sulfuritalea sp016235805, 95.0, 87.53, 0.376; GCF_000828635.1, s__Sulfuritalea hydrogenivorans, 95.0, 82.7, 0.153; GCA_020853215.1, s__Sulfuritalea sp020853215, 95.0, 86.16, 0.187; GCA_016215645.1, s__Sulfuritalea sp016215645, 95.0, 83.25, 0.16; GCA_016716965.1, s__Sulfuritalea sp016716965, 95.0, 88.08, 0.448; GCA_022842325.1, s__Sulfuritalea sp022842325, 95.0, 84.23, 0.174	N/A	N/A	N/A	N/A
coasm_bin.150	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAGUXE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAGUXE01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.9	11	0.97176	N/A
coasm_bin.153	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAFEBO01;s__JAFEBO01 sp016793015	GCA_016793015.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAFEBO01;s__JAFEBO01 sp016793015	97.23	0.847	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017303555.1, s__JAFEBO01 sp017303555, 95.0, 83.51, 0.183	N/A	N/A	N/A	N/A
coasm_bin.156	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.76	11	0.98607	N/A
coasm_bin.157	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp023383735	GCA_023383735.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp023383735	95.63	0.701	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_023383705.1, s__SHZI01 sp023383705, 95.0, 84.45, 0.284; GCA_030836925.1, s__SHZI01 sp030836925, 95.0, 87.07, 0.281; GCA_963204745.1, s__SHZI01 sp963204745, 95.0, 83.16, 0.241; GCA_024234935.1, s__SHZI01 sp024234935, 95.0, 84.63, 0.301	N/A	N/A	N/A	N/A
coasm_bin.161	d__Bacteria;p__Planctomycetota;c__UBA8742;o__UBA2392;f__UBA2392;g__UBA2392;s__UBA2392 sp002343805	GCA_019186845.1	95.0	d__Bacteria;p__Planctomycetota;c__UBA8742;o__UBA2392;f__UBA2392;g__UBA2392;s__UBA2392 sp002343805	99.01	0.95	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_003576915.1, s__UBA2392 sp003576915, 95.0, 90.55, 0.688	N/A	N/A	N/A	N/A
coasm_bin.171	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Inhella;s__Inhella sp017302655	GCA_017302655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Inhella;s__Inhella sp017302655	98.04	0.839	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.178	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__CALBKH01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__CALBKH01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.66	11	0.9568	N/A
coasm_bin.181	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAEKA01;f__JAAEKA01;g__JAAEKA01;s__JAAEKA01 sp014879765	GCA_014879765.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAEKA01;f__JAAEKA01;g__JAAEKA01;s__JAAEKA01 sp014879765	98.63	0.81	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_029558955.1, s__JAAEKA01 sp029558955, 95.0, 88.17, 0.334	N/A	N/A	N/A	N/A
coasm_bin.183	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAABRT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAABRT01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.41	11	0.96799	N/A
coasm_bin.185	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp000585075	GCA_000585075.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp000585075	97.66	0.896	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_003332265.1, s__Accumulibacter meliphilus, 95.0, 84.93, 0.292; GCF_012939955.1, s__Accumulibacter phosphatis_G, 95.0, 85.05, 0.324; GCA_000987445.1, s__Accumulibacter adiacens, 95.0, 87.61, 0.278; GCF_024235715.1, s__Accumulibacter sp024235715, 95.0, 83.23, 0.18; GCA_000585055.1, s__Accumulibacter sp000585055, 95.0, 85.72, 0.334	N/A	N/A	N/A	N/A
coasm_bin.188	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.81	11	0.91272	N/A
coasm_bin.196	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__JAIUNP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__JAIUNP01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.09	11	0.95838	N/A
coasm_bin.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.27	11	0.94333	N/A
coasm_bin.201	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__Prosthecobacter sp014879935	GCF_014879935.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__Prosthecobacter sp014879935	95.68	0.726	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.202	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.17	11	0.99223	N/A
coasm_bin.203	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Fuscibacter;s__Fuscibacter sp014859945	GCA_014859945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Fuscibacter;s__Fuscibacter sp014859945	96.83	0.939	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_013328815.1, s__Fuscibacter sp013328815, 95.0, 83.59, 0.184	N/A	N/A	N/A	N/A
coasm_bin.206	d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__UBA1018;g__JAIEMT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__UBA1018;g__JAIEMT01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	46.38	11	0.85429	N/A
coasm_bin.207	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__UBA5200 sp938004315	GCA_938004315.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__UBA5200 sp938004315	97.52	0.88	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.208	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Niveibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Niveibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.73	11	0.9833	N/A
coasm_bin.209	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	41.29	11	0.99907	N/A
coasm_bin.213	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__Flavipsychrobacter sp016786615	GCA_016786615.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__Flavipsychrobacter sp016786615	98.21	0.805	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002389765.1, s__Flavipsychrobacter sp002389765, 95.0, 82.76, 0.153; GCA_017303395.1, s__Flavipsychrobacter sp017303395, 95.0, 85.3, 0.166; GCA_002337045.1, s__Flavipsychrobacter sp002337045, 95.0, 84.34, 0.172	N/A	N/A	N/A	N/A
coasm_bin.214	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Desulfobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Desulfobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.73	11	0.94279	N/A
coasm_bin.215	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Chiayiivirga;s__Chiayiivirga sp963205495	GCA_963205495.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Chiayiivirga;s__Chiayiivirga sp963205495	99.26	0.932	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_023954075.1, s__Chiayiivirga sp023954075, 95.0, 86.99, 0.415; GCA_934525595.1, s__Chiayiivirga sp934525595, 95.0, 84.95, 0.31	N/A	N/A	N/A	N/A
coasm_bin.218	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__JADZAI01 sp029778105	GCA_029778105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__JADZAI01 sp029778105	99.58	0.938	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_027492655.1, s__JADZAI01 sp027492655, 95.0, 85.22, 0.25	N/A	N/A	N/A	N/A
coasm_bin.219	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.01	11	0.98458	N/A
coasm_bin.22	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	70.86	11	0.949	N/A
coasm_bin.221	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__1-14-0-10-56-10;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__1-14-0-10-56-10;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.49	11	0.85427	N/A
coasm_bin.222	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea sp016790385	GCA_016790385.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea sp016790385	98.64	0.894	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_017302315.1, s__Zoogloea sp017302315, 95.0, 87.89, 0.451; GCA_009026175.1, s__Zoogloea sp009026175, 95.0, 83.14, 0.158; GCF_012927165.1, s__Zoogloea dura, 95.0, 82.71, 0.169; GCF_028689785.1, s__Zoogloea sp028689785, 95.0, 86.54, 0.338; GCF_023150065.1, s__Zoogloea sp023150065, 95.0, 86.04, 0.365; GCF_016703645.1, s__Zoogloea sp008011925, 95.0, 89.03, 0.546	N/A	N/A	N/A	N/A
coasm_bin.223	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UBA1934;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UBA1934;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	42.38	11	0.8916	N/A
coasm_bin.226	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__Arenimonas sp022842045	GCF_022842045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__Arenimonas sp022842045	95.58	0.778	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001724815.1, s__Arenimonas sp001724815, 95.0, 85.46, 0.28; GCF_003024235.1, s__Arenimonas caeni, 95.0, 85.25, 0.255; GCF_019459675.1, s__Arenimonas sp019459675, 95.0, 86.3, 0.216; GCA_003241895.1, s__Arenimonas sp003241895, 95.0, 84.73, 0.25; GCA_003497545.1, s__Arenimonas sp003497545, 95.0, 85.79, 0.164; GCF_000743535.1, s__Arenimonas donghaensis, 95.0, 84.3, 0.189; GCF_007993735.1, s__Arenimonas daejeonensis, 95.0, 85.44, 0.248; GCA_019459185.1, s__Arenimonas sp019459185, 95.0, 85.64, 0.256; GCF_006265115.1, s__Arenimonas terrae, 95.0, 85.95, 0.313; GCA_946480565.1, s__Arenimonas sp946480565, 95.0, 85.89, 0.201; GCF_014643775.1, s__Arenimonas soli, 95.0, 84.93, 0.226; GCF_000747075.1, s__Arenimonas malthae, 95.0, 85.67, 0.281; GCF_000747155.1, s__Arenimonas metalli, 95.0, 92.46, 0.689; GCA_026398695.1, s__Arenimonas sp026398695, 95.0, 85.63, 0.302	N/A	N/A	N/A	N/A
coasm_bin.231	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.08	11	0.95539	N/A
coasm_bin.233	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.91	11	0.99502	N/A
coasm_bin.237	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.57	11	0.92002	N/A
coasm_bin.238	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__BA12;g__BA12;s__BA12 sp014879465	GCA_014879465.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__BA12;g__BA12;s__BA12 sp014879465	96.8	0.826	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.24	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__Absconditicoccaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__Absconditicoccaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.68	4	0.83455	N/A
coasm_bin.240	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__Villigracilis sp023382575	GCA_023382575.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__Villigracilis sp023382575	96.61	0.831	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.246	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuricystis;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuricystis;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63.59	11	0.94158	N/A
coasm_bin.248	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Neotabrizicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Neotabrizicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	71.08	11	0.99448	N/A
coasm_bin.249	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria sp010020825	GCA_010020825.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria sp010020825	97.96	0.811	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_003484805.1, s__Giesbergeria sp003484805, 95.0, 87.55, 0.182; GCF_003604195.1, s__Giesbergeria lacusdiani, 95.0, 87.43, 0.34; GCA_024710165.1, s__Giesbergeria sp024710165, 95.0, 86.39, 0.22; GCA_001770955.1, s__Giesbergeria sp001770955, 95.0, 85.69, 0.259; GCA_023954095.1, s__Giesbergeria sp023954095, 95.0, 84.52, 0.188; GCA_026647025.1, s__Giesbergeria sp026647025, 95.0, 84.79, 0.197; GCA_016192425.1, s__Giesbergeria sp016192425, 95.0, 90.46, 0.51; GCA_023150295.1, s__Giesbergeria sp023150295, 95.0, 92.7, 0.6; GCA_024709845.1, s__Giesbergeria sp024709845, 95.0, 86.68, 0.256; GCF_000739995.1, s__Giesbergeria granuli, 95.0, 86.31, 0.33	N/A	N/A	N/A	N/A
coasm_bin.25	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA9973;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	24.01	11	0.97546	N/A
coasm_bin.250	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter phosphatis_G	GCF_012939955.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter phosphatis_G	98.71	0.802	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_000585055.1, s__Accumulibacter sp000585055, 95.0, 86.36, 0.299; GCA_000585075.1, s__Accumulibacter sp000585075, 95.0, 85.58, 0.278; GCA_003332265.1, s__Accumulibacter meliphilus, 95.0, 93.93, 0.564; GCA_000987445.1, s__Accumulibacter adiacens, 95.0, 88.88, 0.297	N/A	N/A	N/A	N/A
coasm_bin.251	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__Competibacter_A sp016790045	GCA_016790045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__Competibacter_A sp016790045	97.12	0.632	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002433805.1, s__Competibacter_A sp002433805, 95.0, 86.27, 0.36; GCA_016713505.1, s__Competibacter_A sp016713505, 95.0, 82.68, 0.165	N/A	N/A	N/A	N/A
coasm_bin.255	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.82	11	0.95611	N/A
coasm_bin.256	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.53	11	0.95995	N/A
coasm_bin.258	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__JAEUKH01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__JAEUKH01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.2	11	0.91275	N/A
